Title	Given planned earliest start	Given planned earliest end	Notes	Assigned Resources	Additional Title
"D&C 93:15-36"	"06/27/2013"	"06/28/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 93:37-53"	"06/28/2013"	"06/29/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 94"	"06/29/2013"	"06/30/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 95:1-7"	"06/30/2013"	"07/01/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 95:8-17"	"07/01/2013"	"07/02/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 96"	"07/02/2013"	"07/03/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 97:1-10"	"07/03/2013"	"07/04/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 97:11-28"	"07/04/2013"	"07/05/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 98:1-5"	"07/05/2013"	"07/06/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 98:6-21"	"07/06/2013"	"07/07/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 98:22-34"	"07/07/2013"	"07/08/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 98:35-48"	"07/08/2013"	"07/09/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 99"	"07/09/2013"	"07/10/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 100"	"07/10/2013"	"07/11/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 101:1-10"	"07/11/2013"	"07/12/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 101:11-32"	"07/12/2013"	"07/13/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 101:33-51"	"07/13/2013"	"07/14/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 101:52-66"	"07/14/2013"	"07/15/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 101:67-83"	"07/15/2013"	"07/16/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 101:84-101"	"07/16/2013"	"07/17/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 102:1-4"	"07/17/2013"	"07/18/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 102:5-13"	"07/18/2013"	"07/19/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 102:14-24"	"07/19/2013"	"07/20/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 102:25-36"	"07/20/2013"	"07/21/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 103:1-10"	"07/21/2013"	"07/22/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 103:11-26"	"07/22/2013"	"07/23/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 103:27-40"	"07/23/2013"	"07/24/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 104:1-8"	"07/24/2013"	"07/25/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 104:9-25"	"07/25/2013"	"07/26/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 104:26-41"	"07/26/2013"	"07/27/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 104:42-58"	"07/27/2013"	"07/28/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 104:59-72"	"07/28/2013"	"07/29/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 104:73-86"	"07/29/2013"	"07/30/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 105:1-10"	"07/30/2013"	"07/31/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 105:11-26"	"07/31/2013"	"08/01/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
